1400, 20770
# take1
# 指差しが長めなので前を5，後ろを10縮める
# lower hand     
42               ,1372, 1405, r
31               ,1504, 1548, r
26               ,1640, 1688, r
8                ,1759, 1809, r
41               ,1882, 1925, r
38               ,2003, 2048, r
35               ,2133, 2194, r
6                ,2259, 2303, r
22               ,2369, 2418, r
43               ,2499, 2540, r
5                ,2629, 2658, r
34               ,2736, 2785, r
29               ,2872, 2926, r
21               ,2998, 3053, r
26               ,3132, 3183, r
34               ,3256, 3295, r
40               ,3383, 3425, r
20               ,3507, 3557, r
28               ,3630, 3666, r
33               ,3762, 3812, r
3                ,3899, 3944, r
4                ,4034, 4102, r
6                ,4155, 4208, r
12               ,4269, 4335, r
16               ,4393, 4436, r
26               ,4527, 4568, r
9                ,4660, 4709, r
16               ,4800, 4834, r
22               ,4930, 4970, r
32               ,5057, 5103, r
43               ,5195, 5274, r
6                ,5338, 5390, r
9                ,5455, 5499, r
21               ,5587, 5632, r
22               ,5708, 5806, r
14               ,5837, 5919, r
11               ,5965, 6011, r
12               ,6092, 6126, r
39               ,6229, 6270, r
5                ,6358, 6403, r
34               ,6483, 6543, r
28               ,6640, 6682, r
26               ,6788, 6825, r
5                ,6938, 6961, r
21               ,7053, 7103, r
34               ,7180, 7222, r
39               ,7320, 7373, r
46               ,7463, 7521, r
45               ,7620, 7655, r
44               ,7783, 7871, r
28               ,7935, 7972, r
35               ,8057, 8097, r
18               ,8184, 8224, r
25               ,8329, 8390, r
19               ,8464, 8541, r
5                ,8605, 8655, r
4                ,8738, 8798, r
3                ,8884, 8938, r
31               ,9020, 9067, r
39               ,9174, 9241, r
20               ,9308, 9398, r
15               ,9451, 9528, r
19               ,9590, 9653, r
36               ,9732, 9785, r
12               ,9862, 9927, r
21               ,10089, 10158, r
38               ,10216, 10274, r
45               ,10354, 10418, r
41               ,10484, 10548, r
26               ,10643, 10685, r
42               ,10796, 10836, r
43               ,10933, 10991, r
6                ,11105, 11155, r
9                ,11235, 11296, r
40               ,11385, 11434, r
29               ,11568, 11585, r
21               ,11726, 11783, r
12               ,11854, 11916, r
38               ,11987, 12037, r
9                ,12118, 12171, r
2                ,12253, 12300, r
44               ,12404, 12444, r
35               ,12539, 12581, r
37               ,12669, 12722, r
11               ,12804, 12858, r
29               ,12930, 12997, r
18               ,13073, 13127, r
96               ,13209, 13262, r
19               ,13369, 13434, r
15               ,13525, 13586, r
31               ,13682, 13749, r
28               ,13854, 13908, r
37               ,13996, 14046, r
22               ,14137, 14201, r
11               ,14268, 14371, r
34               ,14429, 14486, r
3                ,14567, 14595, r
2                ,14695, 14756, r
39               ,14830, 14896, r
20               ,14970, 15042, r
14               ,15110, 15140, r
35               ,15246, 15293, r
34               ,15377, 15435, r
21               ,15518, 15552, r
31               ,15640, 15700, r
8                ,15775, 15822, r
18               ,15899, 15950, r
42               ,16036, 16090, r
46               ,16166, 16208, r
2                ,16300, 16344, r
16               ,16415, 16456, r
15               ,16552, 16606, r
31               ,16676, 16718, r
33               ,16812, 16858, r
39               ,16933, 16975, r
20               ,17078, 17124, r
45               ,17199, 17242, r
6                ,17331, 17387, r
9                ,17459, 17505, r
38               ,17588, 17630, r
12               ,17720, 17770, r
22               ,17858, 17912, r
28               ,17988, 18039, r
34               ,18120, 18177, r
18               ,18247, 18317, r
35               ,18379, 18431, r
47               ,18506, 18577, r
29               ,18643, 18709, r
11               ,18766, 18829, r
12               ,18888, 18947, r
9                ,19017, 19075, r
35               ,19137, 19191, r
14               ,19276, 19323, r
34               ,19405, 19453, r
20               ,19539, 19596, r
37               ,19675, 19706, r
11               ,19830, 19883, r
19               ,19964, 20018, r
15               ,20081, 20126, r
11               ,20214, 20268, r
12               ,20340, 20402, r
96               ,20462, 20524, r
26               ,20593, 20637, r
38               ,20717, 20769, r
2                ,20847, 20917, r
40               ,20990, 21045, r
